provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
35189,AZ,4,3,5,3,42,N
35190,AZ,3,2,2,4,48.667,N
35192,AZ,5,5,4,5,6,N
35193,AZ,2,2,4,3,48.667,N
35196,AZ,5,4,5,3,22.667,N
35197,AZ,4,3,5,3,34.667,N
35199,AZ,2,1,4,4,88,N
35201,AZ,3,2,4,4,44.667,N
35205,AZ,1,2,1,3,52,N
35207,AZ,5,3,5,4,34.667,N
35214,AZ,2,2,1,4,64.167,N
35216,AZ,2,1,3,4,186.667,N
35217,AZ,5,3,5,4,32.667,N
35225,AZ,4,3,2,4,38.667,N
35231,AZ,3,5,1,1,12.667,N
35232,AZ,5,5,5,4,10,N
35233,AZ,4,4,4,2,12,N
35234,AZ,4,4,2,3,20.667,N
35240,AZ,4,3,2,4,29.333,N
35241,AZ,5,3,5,4,31.333,N
35242,AZ,2,1,3,5,342.5,N
35243,AZ,3,2,5,3,45.333,N
35244,AZ,3,2,3,4,50,N
35245,AZ,4,4,3,3,18,N
35247,AZ,4,2,5,4,50.667,N
35249,AZ,2,1,5,3,85.333,N
35250,AZ,1,1,1,4,76.667,N
35251,AZ,5,4,5,5,24,N
35253,AZ,5,4,5,4,16,N
35254,AZ,4,2,5,4,48,N
35255,AZ,3,2,3,5,49.333,N
35256,AZ,5,5,4,4,6.667,N
35257,AZ,4,3,4,4,26.667,N
35258,AZ,5,4,4,5,23.333,N
35259,AZ,4,4,4,4,15.333,N
35260,AZ,5,4,5,4,15.333,N
35261,AZ,3,2,5,3,50,N
35262,AZ,4,4,4,4,23.333,N
35263,AZ,2,1,5,4,90,N
35264,AZ,3,2,4,4,58.333,N
35265,AZ,4,3,3,4,33.333,N
35266,AZ,5,4,5,5,20,N
35267,AZ,4,4,2,3,23.333,N
35268,AZ,5,5,5,5,6,N
35270,AZ,2,2,5,1,54.667,N
35272,AZ,5,5,5,5,4.667,N
35273,AZ,3,2,3,5,50.667,N
35274,AZ,4,3,4,5,26,N
35275,AZ,5,5,3,5,10,N
35276,AZ,1,1,4,3,127.333,N
35277,AZ,2,2,4,3,60,N
35279,AZ,5,5,5,3,9.333,N
35280,AZ,4,4,2,4,20.667,N
35281,AZ,5,5,4,5,6.667,N
35282,AZ,5,5,3,4,3.333,N
35283,AZ,5,5,3,4,6,N
35284,AZ,4,3,3,4,35.333,N
35285,AZ,4,3,3,4,32,N
35286,AZ,5,4,2,5,11.333,N
35287,AZ,5,5,4,5,12,N
35288,AZ,5,5,5,3,7.2,N
35289,AZ,,,,,0,N
35290,AZ,,,,,0,N
45070,AR,4,3,2,4,53.333,N
45098,AR,2,2,1,4,98,N
45125,AR,5,4,5,5,25.333,N
45134,AR,1,1,3,3,222.833,N
45135,AR,2,1,2,4,197,N
45138,AR,1,1,1,3,700.333,N
45139,AR,3,3,1,4,37.333,N
45140,AR,3,2,5,2,104.667,N
45142,AR,1,1,1,3,136,N
45143,AR,1,1,1,4,193.167,N
45144,AR,2,1,2,4,171.833,N
45145,AR,5,5,2,5,14,N
45146,AR,4,3,3,4,39.333,N
45147,AR,5,4,5,4,25.333,N
45148,AR,5,5,3,4,17.333,N
45149,AR,3,3,4,3,34.667,N
